,ID,Tipo_Diploma,Voto_Dip,CFU_Primo,Prediction
0,1,11,74,44,0
1,2,11,84,41,0
2,3,11,98,50,0
3,4,11,68,30,1
4,5,11,92,8,1
5,6,11,100,45,0
6,7,11,86,50,0
7,8,11,72,45,0
8,9,11,100,50,0
9,10,11,75,35,1
10,11,11,88,50,0
11,12,11,80,54,0
12,13,11,84,44,0
13,14,11,82,33,1
14,17,11,98,50,0
15,18,11,82,29,1
16,19,11,75,39,1
17,20,11,76,44,0
18,22,11,93,50,0
19,23,11,73,18,1
20,24,11,84,50,0
21,25,13,100,26,1
22,26,11,65,24,1
23,27,11,75,50,0
24,28,11,91,50,0
25,30,11,100,39,0
26,31,11,100,50,0
27,32,11,100,50,0
28,33,11,74,44,0
29,34,11,100,50,0
30,35,11,90,50,0
31,36,11,96,36,0
32,38,11,94,23,1
33,39,11,80,8,1
34,40,11,78,36,1
35,41,11,86,54,0
36,42,11,87,50,0
37,43,11,100,50,0
38,44,11,90,44,0
39,45,5,86,29,1
40,46,11,100,54,0
41,47,11,83,36,1
42,48,12,88,27,1
43,49,11,73,8,1
44,50,11,65,29,1
45,51,5,99,50,0
46,52,13,70,24,1
47,53,11,100,8,1
48,54,11,100,33,0
49,55,11,76,23,1
50,56,11,79,20,1
51,57,11,80,42,0
52,58,11,80,29,1
53,59,11,100,27,1
54,60,11,87,50,0
55,61,11,100,45,0
56,62,13,97,27,1
57,63,11,100,50,0
58,64,11,97,45,0
59,65,11,90,54,0
60,66,11,100,51,0
61,67,13,100,21,1
62,68,5,100,54,0
63,69,11,83,36,1
64,70,11,100,54,0
65,71,5,82,18,1
66,72,11,100,21,1
67,73,11,71,6,1
68,74,11,82,33,1
69,75,11,100,54,0
70,76,11,100,54,0
71,77,11,85,42,0
72,78,11,100,54,0
73,79,11,87,44,0
74,80,11,100,54,0
75,81,11,100,54,0
76,82,11,100,54,0
77,83,11,100,50,0
78,84,11,80,42,0
79,85,11,78,54,0
80,86,11,100,45,0
81,87,13,84,24,1
82,88,11,100,54,0
83,89,5,100,42,0
84,90,11,98,54,0
85,91,11,70,8,1
86,92,11,80,36,1
87,93,11,94,42,0
88,94,11,100,54,0
89,95,11,77,27,1
90,96,11,100,54,0
91,97,11,90,36,0
92,98,11,87,33,1
93,99,11,98,54,0
94,100,11,98,54,0
95,101,11,95,42,0
96,102,11,92,54,0
97,103,13,94,48,0
98,104,11,100,30,0
99,105,11,87,36,0
100,106,11,86,45,0
101,107,11,100,54,0
102,108,13,64,48,0
103,109,13,96,39,0
104,110,11,94,36,0
105,111,11,97,54,0
106,112,13,94,33,0
107,113,11,95,42,0
108,114,5,100,50,0
109,115,13,91,24,1
110,116,11,85,54,0
111,117,11,81,12,1
112,118,11,100,42,0
113,119,11,100,42,0
114,120,13,87,54,0
115,121,11,90,54,0
116,122,12,77,20,1
117,123,11,75,54,0
118,124,11,88,42,0
119,125,11,90,42,0
120,126,11,100,54,0
121,127,11,100,36,0
122,128,11,82,42,0
123,129,11,100,54,0
124,130,5,100,54,0
125,131,11,87,54,0
126,132,11,100,54,0
127,133,11,94,54,0
128,134,11,78,27,1
129,135,11,99,21,1
130,136,11,99,54,0
131,137,5,99,48,0
132,138,5,95,36,0
133,139,11,100,48,0
134,140,5,100,54,0
135,141,11,100,50,0
136,142,5,100,33,0
137,143,11,100,42,0
138,144,11,87,24,1
139,145,11,100,36,0
140,146,11,87,42,0
141,147,11,70,12,1
142,148,13,79,33,1
143,149,11,90,50,0
144,151,11,73,44,0
145,152,11,85,38,0
146,153,5,100,35,0
147,154,11,95,45,0
148,155,11,89,50,0
149,162,11,88,44,0
150,165,11,88,8,1
151,166,11,100,50,0
152,167,11,100,50,0
153,172,11,94,50,0
154,173,11,100,50,0
155,174,11,89,50,0
156,175,5,86,14,1
157,177,11,95,50,0
158,178,11,87,44,0
159,179,12,85,35,1
160,180,11,68,50,0
161,181,11,97,50,0
162,182,11,86,17,1
163,183,11,95,45,0
164,184,11,100,50,0
165,185,11,83,8,1
166,186,11,100,51,0
167,188,11,78,38,1
168,189,11,100,44,0
169,190,11,100,50,0
170,191,13,87,51,0
171,192,11,91,29,1
172,193,11,100,50,0
173,194,13,90,41,0
174,195,13,100,20,1
175,196,11,100,50,0
176,197,11,90,51,0
177,198,11,100,50,0
178,200,13,78,51,0
179,201,11,76,17,1
180,202,11,97,44,0
181,203,11,72,23,1
182,204,11,64,23,1
183,205,11,90,23,1
184,206,11,100,50,0
185,207,11,100,50,0
186,208,11,84,38,0
187,209,11,83,50,0
188,210,11,96,51,0
189,211,11,70,29,1
190,212,11,76,41,0
191,213,11,94,50,0
192,214,11,89,24,1
193,215,11,100,44,0
194,216,11,94,35,0
195,217,11,80,41,0
196,219,11,83,8,1
197,220,11,100,50,0
198,221,11,75,50,0
199,222,11,81,14,1
200,223,11,76,39,1
201,224,5,100,50,0
202,225,11,100,39,0
203,226,11,100,50,0
204,227,11,98,30,1
205,228,11,100,50,0
206,229,8,86,20,1
207,230,11,84,20,1
208,231,11,88,50,0
209,232,11,91,50,0
210,233,12,88,20,1
211,234,11,100,45,0
212,235,12,88,20,1
213,236,11,83,44,0
214,237,11,100,50,0
215,239,11,100,50,0
216,240,11,88,45,0
217,241,11,74,35,1
218,245,5,100,50,0
219,246,11,93,50,0
220,247,11,80,35,1
221,248,11,100,45,0
222,249,11,97,50,0
223,250,11,82,50,0
224,251,11,76,45,0
225,252,5,90,51,0
226,253,11,95,50,0
227,254,5,88,8,1
228,255,11,100,50,0
229,256,11,80,8,1
230,257,11,100,50,0
231,258,11,94,50,0
232,259,11,65,50,0
233,260,11,73,38,1
234,261,11,97,50,0
235,262,11,100,50,0
236,264,11,80,50,0
237,265,11,80,41,0
238,266,11,98,50,0
239,267,13,72,8,1
240,268,11,98,50,0
241,269,11,89,44,0
242,270,11,75,50,0
243,271,11,100,50,0
244,272,13,100,50,0
245,273,11,100,50,0
246,274,13,85,14,1
247,275,11,86,50,0
248,276,11,100,15,1
249,277,11,91,50,0
250,278,11,80,50,0
251,279,11,86,50,0
252,280,11,96,50,0
253,281,13,100,50,0
254,282,11,100,44,0
255,283,11,66,17,1
256,284,11,86,50,0
257,285,11,100,50,0
258,286,11,96,44,0
259,287,11,98,32,0
260,288,11,80,50,0
261,289,11,90,29,1
262,290,11,75,8,1
263,291,11,86,32,1
264,292,11,96,50,0
265,293,11,84,29,1
266,294,11,82,32,1
267,295,11,94,50,0
268,296,13,90,38,0
269,297,13,90,50,0
270,298,11,100,50,0
271,299,13,82,20,1
272,300,11,86,29,1
273,301,11,85,44,0
274,302,11,90,50,0
275,303,11,100,50,0
276,304,11,100,29,1
277,305,11,70,8,1
278,306,11,95,50,0
279,307,11,95,50,0
280,308,11,100,50,0
281,309,13,93,50,0
282,310,13,95,8,1
283,311,11,78,50,0
284,312,6,87,50,0
285,313,11,80,20,1
286,314,11,85,50,0
287,315,11,92,50,0
288,316,11,88,50,0
289,317,5,84,38,0
290,318,11,67,44,0
291,319,11,84,50,0
292,320,11,83,23,1
293,321,11,98,50,0
294,322,11,78,26,1
295,323,11,100,50,0
296,324,11,65,23,1
297,325,13,98,8,1
298,326,11,98,50,0
299,327,13,100,38,0
300,328,11,100,50,0
301,329,13,100,50,0
302,330,11,82,35,1
303,331,11,96,50,0
304,332,5,95,29,1
305,333,11,96,38,0
306,334,11,74,50,0
307,335,5,80,38,0
308,336,11,81,20,1
309,337,13,68,17,1
310,338,13,81,8,1
311,339,13,98,50,0
312,340,11,83,8,1
313,341,11,80,26,1
314,342,11,94,50,0
315,343,11,86,50,0
316,344,5,100,26,1
317,345,11,90,50,0
318,346,5,80,35,1
319,347,11,100,50,0
320,348,11,77,8,1
321,349,13,97,50,0
322,351,13,89,38,0
323,352,11,96,50,0
324,353,11,100,50,0
325,354,11,88,32,1
326,355,11,64,8,1
327,356,11,93,50,0
328,357,11,97,50,0
329,358,11,86,50,0
330,359,11,88,20,1
331,360,11,100,50,0
332,361,11,80,8,1
333,363,11,80,9,1
334,364,13,84,9,1
335,365,11,88,8,1
336,366,11,95,50,0
337,367,11,98,15,1
338,370,11,75,29,1
339,371,11,78,14,1
340,372,11,100,50,0
341,373,5,96,29,1
342,376,12,98,38,0
343,378,11,72,17,1
344,379,11,86,51,0
345,380,5,83,26,1
346,382,11,90,51,0
347,383,11,90,38,0
348,384,13,100,45,0
349,385,11,100,45,0
350,386,11,100,45,0
351,387,11,100,51,0
352,388,11,100,24,1
353,389,11,100,18,1
354,390,11,98,39,0
355,391,11,89,45,0
356,393,11,93,45,0
357,394,11,77,39,0
358,395,11,90,51,0
359,396,11,98,36,0
360,397,11,77,45,0
361,398,11,73,15,1
362,399,11,97,51,0
363,400,11,81,39,0
364,403,11,72,45,0
365,404,11,100,51,0
366,405,11,88,30,1
367,406,11,91,39,0
368,407,11,92,51,0
369,408,11,90,18,1
370,409,11,100,51,0
371,410,11,100,45,0
372,411,13,78,9,1
373,412,5,94,9,1
374,413,11,100,39,0
375,414,11,80,39,0
376,415,11,94,45,0
377,416,11,79,32,1
378,417,11,100,39,0
379,418,13,95,45,0
380,419,13,100,33,0
381,420,11,91,45,0
382,421,11,100,51,0
383,422,11,85,45,0
384,423,5,100,21,1
385,424,11,60,9,1
386,425,11,96,30,1
387,426,11,98,50,0
388,427,11,96,50,0
389,428,11,100,50,0
390,429,11,88,44,0
391,432,11,68,27,1
392,433,11,100,23,1
393,434,11,100,8,1
394,435,11,80,29,1
395,436,11,97,50,0
396,437,11,84,50,0
397,438,11,85,8,1
398,439,11,98,50,0
399,440,11,100,38,0
400,442,11,80,8,1
401,444,11,100,50,0
402,445,11,95,50,0
403,447,5,98,14,1
404,448,11,80,14,1
405,449,10,81,38,0
406,451,11,100,50,0
407,452,11,80,29,1
408,453,11,60,17,1
409,454,11,80,44,0
410,455,11,71,9,1
411,456,11,85,17,1
412,457,13,100,35,0
413,458,11,97,50,0
414,459,11,100,50,0
415,460,11,81,44,0
416,461,11,100,50,0
417,462,11,86,44,0
418,463,11,100,50,0
419,464,13,96,17,1
420,465,11,100,50,0
421,466,11,86,44,0
422,467,11,100,50,0
423,468,11,100,50,0
424,469,11,100,50,0
425,470,11,92,35,0
426,471,12,89,38,0
427,472,11,97,17,1
428,473,8,95,44,0
429,474,11,75,44,0
430,475,11,60,36,1
431,476,11,84,50,0
432,477,5,97,50,0
433,478,11,78,50,0
434,479,11,80,50,0
435,480,11,87,50,0
436,481,11,84,44,0
437,482,11,96,29,1
438,483,11,91,38,0
439,484,11,76,50,0
440,485,11,81,50,0
441,486,11,78,50,0
442,487,11,87,29,1
443,488,11,100,50,0
444,489,5,90,14,1
445,490,11,87,35,0
446,491,11,91,38,0
447,492,5,100,44,0
448,493,11,84,50,0
449,494,11,97,35,0
450,495,11,94,44,0
451,496,11,100,50,0
452,497,13,81,9,1
453,498,11,69,21,1
454,499,11,88,20,1
455,503,11,100,42,0
456,504,8,100,17,1
457,505,13,73,12,1
458,506,11,100,21,1
459,507,8,100,15,1
460,508,11,86,27,1
461,509,11,83,50,0
462,510,11,87,50,0
463,511,13,87,12,1
464,512,11,75,32,1
465,513,13,98,35,0
466,514,11,94,9,1
467,515,11,100,50,0
468,516,13,97,29,1
469,517,13,77,9,1
470,519,11,100,51,0
471,520,11,89,45,0
472,521,11,98,44,0
473,522,11,93,20,1
474,523,11,100,38,0
475,524,11,76,26,1
476,525,11,86,23,1
477,526,11,94,50,0
